Origin,Destination,Flight_Time,Departure Date,Return Date,Duration,Stops,Flight_Name,Price
Islamabad,Toronto,5:05am - 7:30pm,2023-05-10,2023-05-10,23h 25m (2 stops),3h in Istanbul (IST) - 2h 50m in Frankfurt (FRA),Multiple airlines,3502
Islamabad,Toronto,5:05am - 7:30pm,2023-05-10,2023-05-10,23h 25m (2 stops),3h in Istanbul (IST) - 2h 50m in Frankfurt (FRA),Multiple airlines ,3662
Islamabad,Vancouver,5:05am - 4:45pm,2023-05-10,2023-05-10,23h 40m (2 stops),2h 50m in Istanbul (IST) - 2h in Munich (MUC),Multiple airlines ,4883
Islamabad,Vancouver,3:35am - 4:45pm,2023-05-10,2023-05-10,25h 10m (2 stops),3h 5m in Doha (DOH) - 2h in Munich (MUC),Multiple airlines,4912
Islamabad,Vancouver,5:05am - 4:45pm,2023-05-10,2023-05-10,23h 40m (2 stops),2h 50m in Istanbul (IST) - 2h in Munich (MUC),Multiple airlines,5025
Islamabad,Montreal,5:05am - 5:40pm,2023-05-10,2023-05-10,21h 35m (1 stop),5h 45m in Istanbul (IST),Turkish Airlines,2391
Islamabad,Montreal,3:35am - 2:00pm,2023-05-10,2023-05-10,19h 25m (1 stop),2h 30m in Doha (DOH),Qatar Airways,4232
Islamabad,Edmonton,4:25am - 8:40pm,2023-05-10,2023-05-10,27h 15m (2 stops),2h 10m in Abu Dhabi (AUH) - 3h 35m in Toronto (YYZ),Multiple airlines,6023
Islamabad,Riyadh,3:05am - 9:50am,2023-05-10,2023-05-10,8h 45m (1 stop),1h 45m in Jeddah (JED),Saudi Arabian Airlines,528
Islamabad,Riyadh,10:25am - 5:50pm,2023-05-10,2023-05-10,9h 25m (1 stop),2h 25m in Jeddah (JED),Saudi Arabian Airlines,528
Islamabad,Riyadh,3:05am - 10:50am,2023-05-10,2023-05-10,9h 45m (1 stop),2h 45m in Jeddah (JED),Saudi Arabian Airlines,528
Islamabad,Dammam,3:05am - 11:10am,2023-05-10,2023-05-10,10h 5m (1 stop),2h 45m in Jeddah (JED),Saudi Arabian Airlines,528
Islamabad,Dammam,3:05am - 1:10pm,2023-05-10,2023-05-10,12h 5m (1 stop),4h 45m in Jeddah (JED),Saudi Arabian Airlines,528
Islamabad,Dammam,3:05am - 3:00pm,2023-05-10,2023-05-10,13h 55m (1 stop),6h 45m in Jeddah (JED),Saudi Arabian Airlines,528
Islamabad,London,5:30am - 2:45pm,2023-05-10,2023-05-10,13h 15m (1 stop),2h 50m in Kuwait City (KWI),Kuwait Airways,1043
Islamabad,London,9:20am - 6:40pm,2023-05-10,2023-05-10,13h 20m (1 stop),2h 40m in Dubai (DXB),Emirates,1210
Islamabad,London,9:20am - 8:15pm,2023-05-10,2023-05-10,14h 55m (1 stop),4h 10m in Dubai (DXB),Emirates,1210
Islamabad,Manchester,9:20am - 7:15pm,2023-05-10,2023-05-10,13h 55m (1 stop),2h 55m in Dubai (DXB),Emirates,1084
Islamabad,Manchester,5:05am - 12:10pm,2023-05-10,2023-05-10,11h 5m (1 stop),1h in Istanbul (IST),Turkish Airlines,1219
Islamabad,Manchester,3:35am - 1:25pm,2023-05-10,2023-05-10,13h 50m (1 stop),2h 45m in Doha (DOH),Qatar Airways,1638
Islamabad,Chicago,5:05am - 5:50pm,2023-05-10,2023-05-10,22h 45m (1 stop),5h 20m in Istanbul (IST),Turkish Airlines,1827
Islamabad,Chicago,3:35am - 3:00pm,2023-05-10,2023-05-10,21h 25m (1 stop),2h 35m in Doha (DOH),Multiple airlines ,2207
Islamabad,Chicago,3:35am - 3:00pm,2023-05-10,2023-05-10,21h 25m (1 stop),2h 35m in Doha (DOH),Qatar Airways,2446
Karachi,Vancouver,4:00am - 5:04pm,2023-05-10,2023-05-10,25h 4m (2 stops),3h 5m in Doha (DOH) - 3h 35m in Seattle (SEA),Multiple airlines ,2407
Karachi,Vancouver,4:00am - 7:27pm,2023-05-10,2023-05-10,27h 27m (2 stops),3h 20m in Doha (DOH) - 3h 15m in San Francisco (SFO),Multiple airlines,2407
Karachi,Vancouver,4:00am - 5:04pm,2023-05-10,2023-05-10,25h 4m (2 stops),3h 5m in Doha (DOH) - 3h 35m in Seattle (SEA),Qatar Airways ,2418
Karachi,Montreal,5:55am - 5:40pm,2023-05-10,2023-05-10,20h 45m (1 stop),5h in Istanbul (IST),Turkish Airlines,2069
Karachi,Montreal,4:00am - 2:00pm,2023-05-10,2023-05-10,19h 0m (1 stop),2h 55m in Doha (DOH),Qatar Airways,3082
Karachi,Edmonton,4:00am - 8:40pm,2023-05-10,2023-05-10,27h 40m (2 stops),3h 50m in Abu Dhabi (AUH) - 3h 35m in Toronto (YYZ),Multiple airlines,6040
